PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,,
CW[667],,FREE,,,
CW[668],,FREE,,,
CW[669],,FREE,,,
CW[670],,FREE,,,
CW[671],,FREE,,,
CW[672],,FREE,,,
CW[673],,FREE,,,
CW[674],,FREE,,,
CW[675],,FREE,,,
CW[676],,FREE,,,
CW[677],,FREE,,,
CW[678],,FREE,,,
CW[679],,FREE,,,
CW[680],,ADDRESS FOR XBT PARTITION (CW) STATUT PAGE 0,pg 78,,
CW[695],,FREE,,,
CW[696],,FREE,,,
CW[697],,FREE,,,
CW[698],,FREE,,,
CW[699],,FREE,pg 79-90,,
CW[1300],,FREE,,,
CW[1301],,FREE,,,
CW[1302],,FREE,,,
CW[1303],,FREE,,,
CW[1304],,FREE,,,
CW[1305],,FREE,,,
CW[1306],,FREE,,,
CW[1307],,FREE,,,
CW[1308],,FREE,,,
CW[1309],,FREE,,,
CW[1310],,FREE,,,
CW[1311],,FREE,,,
CW[1312],,FREE,,,
CW[1313],,FREE,,,
CW[1314],,FREE,,,
CW[1315],,FREE,,,
CW[1316],,FREE,,,
CW[1317],,FREE,,,
CW[1318],,FREE,,,
CW[1319],,FREE,,,
CW[1320],,FREE,,,
CW[1321],,FREE,,,
CW[1322],,FREE,,,
CW[1323],,FREE,,,
CW[1324],,FREE,,,
CW[1325],,FREE,,,
CW[1326],,FREE,,,
CW[1327],,FREE,,,
CW[1328],,FREE,,,
CW[1329],,FREE,,,
CW[1330],,FREE,,,
CW[1331],,FREE,,,
CW[1332],,FREE,,,
CW[1333],,FREE,,,
CW[1334],,FREE,,,
CW[1335],,FREE,,,
CW[1336],,FREE,,,
CW[1337],,FREE,,,
CW[1338],,FREE,,,
CW[1339],,FREE,,,
CW[1340],,FREE,,,
CW[1341],,FREE,,,
CW[1342],,FREE,,,
CW[1343],,FREE,,,
CW[1344],,FREE,,,
CW[1345],,FREE,,,
CW[1346],,FREE,,,
CW[1347],,FREE,,,
CW[1348],,FREE,,,
CW[1349],,FREE,,,
CW[1350],,FREE,,,
CW[1351],,FREE,,,
CW[1352],,FREE,,,
CW[1353],,FREE,,,
CW[1354],,FREE,,,
CW[1355],,FREE,,,
CW[1356],,FREE,,,
CW[1357],,FREE,,,
CW[1358],,FREE,,,
CW[1359],,FREE,,,
CW[1360],,FREE,,,
CW[1361],,FREE,,,
CW[1362],,FREE,,,
CW[1363],,FREE,,,
CW[1364],,FREE,,,
CW[1365],,FREE,,,
CW[1366],,FREE,,,
CW[1367],,FREE,,,
CW[1368],,FREE,,,
CW[1369],,FREE,,,
CW[1370],,FREE,,,
CW[1371],,FREE,,,
CW[1372],,FREE,,,
CW[1373],,FREE,,,
CW[1374],,FREE,,,
CW[1375],,FREE,,,
CW[1376],,FREE,,,
CW[1377],,FREE,,,
CW[1378],,FREE,,,
CW[1379],,FREE,,,
CW[1380],,FREE,,,
CW[1381],,FREE,,,
CW[1382],,FREE,,,
CW[1383],,FREE,,,
CW[1384],,FREE,,,
CW[1385],,FREE,,,
CW[1386],,FREE,,,
CW[1387],,FREE,,,
CW[1388],,FREE,,,
CW[1389],,FREE,,,
CW[1390],,FREE,,,
CW[1391],,FREE,,,
CW[1392],,FREE,,,
CW[1393],,FREE,,,
CW[1394],,FREE,,,
CW[1395],,FREE,,,
CW[1396],,FREE,,,
CW[1397],,FREE,,,
CW[1398],,FREE,,,
CW[1399],,FREE,pg 91,,
CW[1425],,FREE,,,
CW[1426],,FREE,,,
CW[1427],,FREE,,,
CW[1428],,FREE,,,
CW[1429],,FREE,,,
CW[1430],,FREE,,,
CW[1431],,FREE,,,
CW[1432],,FREE,,,
CW[1433],,FREE,,,
CW[1434],,FREE,,,
CW[1435],,FREE,,,
CW[1436],,FREE,,,
CW[1437],,FREE,,,
CW[1438],,FREE,,,
CW[1439],,FREE,pg 91-92,,
CW[1465],,FREE,,,
CW[1466],,FREE,,,
CW[1467],,FREE,,,
CW[1468],,FREE,,,
CW[1469],,FREE,,,
CW[1470],,FREE,,,
CW[1471],,FREE,,,
CW[1472],,FREE,,,
CW[1473],,FREE,,,
CW[1474],,FREE,,,
CW[1475],,FREE,,,
CW[1476],,FREE,,,
CW[1477],,FREE,,,
CW[1478],,FREE,,,
CW[1479],,FREE,pg 92,,
CW[1500],,PRIMAY SPEED DISPLAY,,,
CW[1501],,SECONDARY SPEED DISPLAY,,,
CW[1502],,SAT 1 SPEED DISPLAY,,,
CW[1503],,SAT 2 SPEED DISPLAY,,,
CW[1504],,CR SPEED DISPLAY,,,
CW[1505],,MDO1 SPEED DISPLAY,,,
CW[1506],,MDO 2 SPEED DISPLAY,,,
CW[1507],,MDO 3 SPEED DISPLAY,,,
CW[1508],,TDO SPEED DISPLAY,,,
CW[1509],,PRS1 SPEED DISPLAY,,,
CW[1510],,PRS2 SPEED DISPLAY,,,
CW[1511],,SPAN OF PRS1 #1 CHROME ROLL,,,
CW[1512],,SPAN OF PRS1 #2 CHROME ROLL,,,
CW[1513],,SPAN OF PRS2 #1 CORONA ROLL,,,
CW[1514],,SPAN OF PRS2 FLAME TREATER ROLL,,,
CW[1515],,SPAN OF PRS2 #2 CORONA ROLL,,,
CW[1516],,SPAN OF PRS2  CHROME ROLL,,,
CW[1517],,OFFSET OF PRS1 #1 CHROME ROLL,,,
CW[1518],,OFFSET OF PRS1 #2 CHROME ROLL,,,
CW[1519],,OFFSET OF PRS2 #1 CORONA ROLL,,,
CW[1520],,OFFSET OF PRS2 FLAME TREATER ROLL,,,
CW[1521],,OFFSET OF PRS2 #2CORONA ROLL,,,
CW[1522],,OFFSET OF PRS2  LAST CHROME ROLL (#3),,,
CW[1530],,SPAN OF EDGE TRIM BLOWER M1 FLUFF,,,
CW[1531],,SPAN OF EDGE TRIM GRINDER M2,,,
CW[1532],,SPAN OF EDGE TRIM BLOWER M3 EAST,,,
CW[1533],,SPAN OF EDGE TRIM BLOWER M4 WEST,,,
CW[1534],,SPAN OF OFF LINE GRINDER,,,
CW[1535],,SPAN OF OFF LINE BLOWER,,,
CW[1536],,SPAN OF FLAKE STAND BLOWER,,,
CW[1537],,SPAN OF NORTH GRINDER,,,
CW[1538],,SPAN OF FLUFF BLOWER,,,
CW[1539],,FREE,,,
CW[1540],,OFFSET OF EDGE TRIM BLOWER M1 FLUFF,,,
CW[1541],,OFFSET OF EDGE TRIM GRINDER M2,,,
CW[1542],,OFFSET OF EDGE TRIM BLOWER M3 EAST,,,
CW[1543],,OFFSET OF EDGE TRIM BLOWER M4 WEST,,,
CW[1544],,OFFSET OF OFF LINE GRINDER,,,
CW[1545],,OFFSET OF OFF LINE BLOWER,,,
CW[1546],,OFFSET OF FLAKE STAND BLOWER,,,
CW[1547],,OFFSET OF NORTH GRINDER,,,
CW[1548],,OFFSET OF FLUFF BLOWER,,,
CW[1549],,FREE,,,
CW[1550],,FREE,,,
CW[1551],,FREE,,,
CW[1552],,FREE,,,
CW[1553],,FREE,,,
CW[1554],,FREE,,,
CW[1555],,FREE,,,
CW[1556],,FREE,,,
CW[1557],,FREE,,,
CW[1558],,FREE,,,
CW[1559],,FREE,,,
CW[1560],,FREE,,,
CW[1561],,FREE,,,
CW[1562],,FREE,,,
CW[1563],,FREE,,,
CW[1564],,FREE,,,
CW[1565],,FREE,,,
CW[1566],,FREE,,,
CW[1567],,FREE,,,
CW[1568],,FREE,,,
CW[1569],,FREE,,,
CW[1570],,FREE,,,
CW[1571],,FREE,,,
CW[1572],,FREE,,,
CW[1573],,FREE,,,
CW[1574],,FREE,,,
CW[1575],,FREE,,,
CW[1576],,FREE,,,
CW[1577],,FREE,,,
CW[1578],,FREE,,,
CW[1579],,FREE,,,
CW[1580],,FREE,,,
CW[1581],,FREE,,,
CW[1582],,FREE,,,
CW[1583],,FREE,,,
CW[1584],,FREE,,,
CW[1585],,FREE,,,
CW[1586],,FREE,,,
CW[1587],,FREE,,,
CW[1588],,FREE,,,
CW[1589],,FREE,,,
CW[1590],,FREE,,,
CW[1591],,FREE,,,
CW[1592],,FREE,,,
CW[1593],,FREE,,,
CW[1594],,FREE,,,
CW[1595],,FREE,,,
CW[1596],,FREE,,,
CW[1597],,FREE,,,
CW[1598],,FREE,,,
CW[1599],,FREE,,,
