PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,,,,,
W[255],,AFTER SCALE TRAITEMENT CURRENT CR,"xx,xAmp",,,,,
W[256],,AFTER SCALE TRAITEMENT CURRENT MDO1,"xx,xAmp",,,,,
W[257],,AFTER SCALE TRAITEMENT CURRENT MDO2,xxxAmp,,,,,
W[258],,AFTER SCALE TRAITEMENT CURRENT MDO3,xxxAmp,,,,,
W[259],,AFTER SCALE TRAITEMENT CURRENT TDO,xxxAmp,,,,,
W[260],,AFTER SCALE TRAITEMENT CURRENT PRS1,"xx,xAmp",,,,,
W[261],,AFTER SCALE TRAITEMENT CURRENT PRS2,"xx,xAmp",,,,,
W[262],,FREE,,,,,,
W[263],,FREE,,,,,,
W[264],,FREE,,,,,,
W[265],,FREE,,,,,,
W[266],,FREE,,,,,,
W[267],,FREE,,,,,,
W[268],,FREE,,,,,,
W[269],,FREE,,,,,,
W[270],,ORDERS FOR ANALOG OUTPUT EXT1,0-10000pts,,,,,
W[271],,ORDERS FOR ANALOG OUTPUT EXT2,0-10000pts,,,,,
W[272],,ORDERS FOR ANALOG OUTPUT SAT1,0-10000pts,,,,,
W[273],,ORDERS FOR ANALOG OUTPUT SAT2,0-10000pts,,,,,
W[274],,ORDERS FOR ANALOG OUTPUT CR,0-10000pts,,,,,
W[275],,ORDERS FOR ANALOG OUTPUT MDO1,0-10000pts,,,,,
W[276],,ORDERS FOR ANALOG OUTPUT MDO2,0-10000pts,,,,,
W[277],,ORDERS FOR ANALOG OUTPUT MDO3,0-10000pts,,,,,
W[278],,ORDERS FOR ANALOG OUTPUT TDO,0-10000pts,,,,,
W[279],,ORDERS FOR ANALOG OUTPUT PRS1,0-10000pts,,,,,
W[280],,ORDERS FOR ANALOG OUTPUT PRS2,0-10000pts,,,,,
W[281],,ORDERS FOR ANALOG OUTPUT AUX1,0-10000pts,,,,,
W[282],,ORDERS FOR ANALOG OUTPUT AUX2,0-10000pts,,,,,
W[283],,ORDERS FOR ANALOG OUTPUT WINDER AUX,0-10000pts,,,,,
W[284],,FREE,,,,,,
W[285],,FREE,,,,,,
W[286],,FREE,,,,,,
W[287],,FREE,,,,,,
W[288],,FREE,,,,,,
W[289],,FREE,,,,,,
W[290],,FREE,,,,,,
W[291],,SPEED OF PRS1 #1 CHROME ROLL,,,,,,
W[292],,SPEED OF PRS1 #2 CHROME ROLL,,,,,,
W[293],,SPEED OF PRS2 #1 CORONA ROLL,,,,,,
W[294],,SPEED OF PRS2 FLAME TREATER ROLL,,,,,,
W[295],,SPEED OF PRS2 #2 CORONA ROLL,,,,,,
W[296],,SPEED OF PRS2 CHROME ROLL,,,,,,
W[297],,FREE,,,,,,
W[298],,FREE,,,,,,
W[299],,FREE,,,,,,
W[300],,$QOU$Q RUN ORDER XBT1 XBT2,,,,,,
W[301],,$QOU$Q STOP ORDER XBT1 XBT2,,,,,,
W[302],,FREE,,,,,,
W[303],,KEY XBT1 (1 TO 15),,,,,,
W[304],,KEY XBT2 (1 TO 15),,,,,,
W[305],,RUN ORDER XBT1,,,,,,
W[306],,RUN ORDER XBT2,,,,,,
W[307],,STOP ORDER XBT1,,,,,,
W[308],,STOP ORDER XBT2,,,,,,
W[309],,FREE,,,,,,
W[310],,MOTORS START ORDER,,,,,,
W[310].0,,ORDER RUN EXT1,,,,,,
W[310].1,,ORDER RUN EXT2,,,,,,
W[310].2,,ORDER RUN SAT1,,,,,,
W[310].3,,ORDER RUN SAT2,,,,,,
W[310].4,,ORDER RUN CR,,,,,,
W[310].5,,ORDER RUN MDO1,,,,,,
W[310].6,,ORDER RUN MDO2,,,,,,
W[310].7,,ORDER RUN MDO3,,,,,,
W[310].8,,ORDER RUN TDO,,,,,,
W[310].9,,ORDER RUN PRS1,,,,,,
W[310].10,,ORDER RUN PRS2,,,,,,
W[311],,MEMORY RUN ORDER XBT1 XBT2,,,,,,
W[312],,MEMORY STOP ORDER XBT1 XBT2,,,,,,
W[313],,FREE,,,,,,
W[314],,FREE,,,,,,
W[315],,SUPERVISOR STOP ORDER,,,,,,
W[316],,SUPERVISOR RUN ORDER,,,,,,
W[317],,FREE,,,,,,
W[318],,FREE,,,,,,
W[319],,FREE,,,,,,
W[320],,MASK RUNNING ORDER SUPERVISOR,,,,,,
W[321],,MASK RUNNING ORDER XBT1,,,,,,
W[322],,MASK RUNNING ORDER XBT2,,,,,,
W[323],,MASK STOP ORDER XBT1,,,,,,
W[324],,MASK STOP ORDER XBT2,,,,,,
W[325],,MASK STOP ORDER SUPERVISOR,,,,,,
W[326],,FREE,,,,,,
W[327],,FREE,,,,,,
W[328],,FREE,,,,,,
W[329],,FREE,,,,,,
W[330],,ORDER LEDS PAGE 1,,,,,,
W[331],,ORDER MESSAGE NP PAGE 1,,,,,,
W[332],,ORDER LEDS PAGE 2,,,,,,
W[333],,ORDER MESSAGE NP PAGE 2,,,,,,
W[334],,ORDER LEDS PAGE 3,,,,,,
W[335],,ORDER MESSAGE NP PAGE 3,,,,,,
W[336],,ORDER LEDS PAGE 4,,,,,,
W[337],,ORDER MESSAGE NP PAGE 4,,,,,,
W[338],,FREE,,,,,,
W[339],,FREE,,,,,,
W[340],,AFTER SCALE  TRAITEMENT EDGE TRIM BLOWER M1 FLUFF,,,,,,
W[341],,AFTER SCALE  TRAITEMENT EDGE TRIM GRINDER M2,,,,,,
W[342],,AFTER SCALE  TRAITEMENT EDGE TRIM BLOWER M3 EAST,,,,,,
W[343],,AFTER SCALE  TRAITEMENT EDGE TRIM BLOWER M4 WEST,,,,,,
W[344],,AFTER SCALE  TRAITEMENT OFF LINE GRINDER,,,,,,
W[345],,AFTER SCALE  TRAITEMENT OFF LINE BLOWER,,,,,,
W[346],,AFTER SCALE  TRAITEMENT FLAKE STAND BLOWER,,,,,,
W[347],,AFTER SCALE  TRAITEMENT NORTH GRINDER,,,,,,
W[348],,AFTER SCALE  TRAITEMENT NORTH FLUFF BLOWER,,,,,,
W[349],,FREE,,,,,,
W[350],,WORK,,,,,,
W[351],,WORK,,,,,,
W[352],,WORK,,,,,,
W[353],,WORK,,,,,,
W[354],,WORK,,,,,,
W[355],,WORK,,,,,,
W[356],,WORK,,,,,,
W[357],,WORK,,,,,,
W[358],,WORK,,,,,,
W[359],,WORK,,,,,,
W[360] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[361] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[362] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[363] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[364] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[365] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[366] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[367] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[368] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[369] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[370] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[371] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[372] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[373] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[374] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[375] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[376] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[377] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[378] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[379] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[380] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[381] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[382] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[383] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[384] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[385] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[386] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[387] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[388] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[389] ,,RECEIVE WORDS FROM XBT1 TXT5,,,,,,
W[390],,RECEIVE TIME OUT,,,,,,
W[391],,NUMBER WORDS IN RECEIVE,,,,,,
W[392],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[393],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[394],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[395],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[396],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[397],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[398],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[399],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[400],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[401],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[402],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[403],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[404],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[405],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[406],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[407],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[408],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[409],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[410],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[411],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[412],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[413],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[414],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[415],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[416],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[417],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[418],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[419],,SEND WORDS FOR XBT1 TXT5,,,,,,
W[420] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[421] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[422] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[423] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[424] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[425] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[426] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[427] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[428] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[429] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[430] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[431] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[432] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[433] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[434] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[435] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[436] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
W[437] ,,SEND WORDS FOR XBT1 TXT5,,,,,,
