ADD,ALIAS TO , DESCRIPTION,UNIT,,,
b[414],,FREE,,,,
b[415],,FREE,,,,
b[416],,FREE,,,,
b[417],,FREE,,,,
b[418],,FREE,,,,
b[419],,FREE,,,,
b[420],,FREE,,,,
b[421],,FREE,,,,
b[422],,FREE,,,,
b[423],,FREE,,,,
b[424],,FREE,,,,
b[425],,FREE,,,,
b[426],,FREE,,,,
b[427],,FREE,,,,
b[428],,FREE,,,,
b[429],,FREE,,,,
b[430],,COPY W102,,,,
b[431],,COPY W102 set point automatic,,,,
b[432],,COPY W102 speed/pressure ext1,,,,
b[433],,COPY W102 speed/pressure ext2,,,,
b[434],,COPY W102 speed/pressure sat1,,,,
b[435],,COPY W102 speed/pressure sat2,,,,
b[436],,COPY W102,,,,
b[437],,COPY W102 purge mode ext1 & ext2,,,,
b[438],,COPY W102 purge mode sat1,,,,
b[439],,COPY W102 purge mode sat2,,,,
b[440],,COPY W102,,,,
b[441],,COPY W102,,,,
b[442],,COPY W102,,,,
b[443],,COPY W102,,,,
b[444],,COPY W102,,,,
b[445],,COPY W102,,,,
b[446],,FREE,,,,
b[447],,FREE,,,,
b[448],,FREE,,,,
b[449],,FREE,,,,
b[450],,FREE,,,,
b[451],,FREE,,,,
b[452],,FREE,,,,
b[453],,FREE,,,,
b[454],,FREE,,,,
b[455],,FREE,,,,
b[456],,FREE,,,,
b[457],,FREE,,,,
b[458],,FREE,,,,
b[459],,FREE,,,,
b[460],,FREE,,,,
b[461],,FREE,,,,
b[462],,FREE,,,,
b[463],,FREE,,,,
b[464],,FREE,,,,
b[465],,FREE,,,,
b[466],,FREE,,,,
b[467],,FREE,,,,
b[468],,FREE,,,,
b[469],,FREE,,,,
b[470],,FREE,,,,
b[471],,FREE,,,,
b[472],,FREE,,,,
b[473],,FREE,,,,
b[474],,FREE,,,,
b[475],,FREE,,,,
b[476],,FREE,,,,
b[477],,FREE,,,,
b[478],,FREE,,,,
b[479],,FREE,,,,
b[480],,FREE,,,,
b[481],,FREE,,,,
b[482],,FREE,,,,
b[483],,FREE,,,,
