PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,
CW[406],,PARTITION N3 XBT1 & XBT2 PAGE 3,W1526,
CW[407],,PARTITION N3 XBT1 & XBT2 PAGE 3,W1515,
CW[408],,PARTITION N3 XBT1 & XBT2 PAGE 3,W1527,
CW[409],,PARTITION N3 XBT1 & XBT2 PAGE 3,W1516,
CW[410],,PARTITION N4 XBT1 & XBT2 PAGE 3,B634,
CW[411],,PARTITION N4 XBT1 & XBT2 PAGE 3,B577,
CW[412],,PARTITION N4 XBT1 & XBT2 PAGE 3,B597,
CW[413],,PARTITION N4 XBT1 & XBT2 PAGE 3,W1523,
CW[414],,PARTITION N4 XBT1 & XBT2 PAGE 3,W1512,
CW[415],,PARTITION N4 XBT1 & XBT2 PAGE 3,W1531,
CW[416],,PARTITION N4 XBT1 & XBT2 PAGE 3,W1535,
CW[417],,PARTITION N4 XBT1 & XBT2 PAGE 3,W1536,
CW[418],,PARTITION N4 XBT1 & XBT2 PAGE 3,W1532,
CW[419],,PARTITION N4 XBT1 & XBT2 PAGE 3,W1537,
CW[420],,PARTITION N1 XBT1 & XBT2 PAGE 4,B578,
CW[421],,PARTITION N1 XBT1 & XBT2 PAGE 4,B598,
CW[422],,PARTITION N1 XBT1 & XBT2 PAGE 4,W1611,
CW[423],,PARTITION N1 XBT1 & XBT2 PAGE 4,B549,
CW[424],,PARTITION N1 XBT1 & XBT2 PAGE 4,W1612,
CW[425],,PARTITION N1 XBT1 & XBT2 PAGE 4,B548,
CW[426],,PARTITION N1 XBT1 & XBT2 PAGE 4,B579,
CW[427],,PARTITION N1 XBT1 & XBT2 PAGE 4,B599,
CW[428],,PARTITION N1 XBT1 & XBT2 PAGE 4,B580,
CW[429],,PARTITION N1 XBT1 & XBT2 PAGE 4,B600,
CW[430],,PARTITION N2 XBT1 & XBT2 PAGE 4,0,
CW[431],,PARTITION N2 XBT1 & XBT2 PAGE 4,0,
CW[432],,PARTITION N2 XBT1 & XBT2 PAGE 4,0,
CW[433],,PARTITION N2 XBT1 & XBT2 PAGE 4,0,
CW[434],,PARTITION N2 XBT1 & XBT2 PAGE 4,0,
CW[435],,PARTITION N2 XBT1 & XBT2 PAGE 4,0,
CW[436],,PARTITION N2 XBT1 & XBT2 PAGE 4,0,
CW[437],,PARTITION N2 XBT1 & XBT2 PAGE 4,0,
CW[438],,PARTITION N2 XBT1 & XBT2 PAGE 4,0,
CW[439],,PARTITION N2 XBT1 & XBT2 PAGE 4,0,
CW[440],,PARTITION N3 XBT1 & XBT2 PAGE 4,B634,
CW[441],,PARTITION N3 XBT1 & XBT2 PAGE 4,0,
CW[442],,PARTITION N3 XBT1 & XBT2 PAGE 4,W1520,
CW[443],,PARTITION N3 XBT1 & XBT2 PAGE 4,W1517,
CW[444],,PARTITION N3 XBT1 & XBT2 PAGE 4,W1529,
CW[445],,PARTITION N3 XBT1 & XBT2 PAGE 4,W1518,
CW[446],,PARTITION N3 XBT1 & XBT2 PAGE 4,W1533,
CW[447],,PARTITION N3 XBT1 & XBT2 PAGE 4,W1534,
CW[448],,PARTITION N3 XBT1 & XBT2 PAGE 4,W1527,
CW[449],,PARTITION N3 XBT1 & XBT2 PAGE 4,W1516,
CW[450],,PARTITION N4 XBT1 & XBT2 PAGE 4,0,
CW[451],,PARTITION N4 XBT1 & XBT2 PAGE 4,0,
CW[452],,PARTITION N4 XBT1 & XBT2 PAGE 4,0,
CW[453],,PARTITION N4 XBT1 & XBT2 PAGE 4,0,
CW[454],,PARTITION N4 XBT1 & XBT2 PAGE 4,0,
CW[455],,PARTITION N4 XBT1 & XBT2 PAGE 4,0,
CW[456],,PARTITION N4 XBT1 & XBT2 PAGE 4,0,
CW[457],,PARTITION N4 XBT1 & XBT2 PAGE 4,0,
CW[458],,PARTITION N4 XBT1 & XBT2 PAGE 4,0,
CW[459],,PARTITION N4 XBT1 & XBT2 PAGE 4,0,
CW[460],,FREE,,
CW[461],,FREE,,
CW[462],,FREE,,
CW[463],,FREE,,
CW[464],,FREE,,
CW[465],,FREE,,
CW[466],,FREE,,
